STUDENT_ID	PRE_STATE	ACTION	POST_STATE
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(S>~R)&(r>N),Svr\~RvN#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(S>~R)&(r>N),Svr\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(S>~R)&(r>N),Svr\~RvN#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(S>~R)&(T>N),SvT\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(S>~R)&(T>N),SvT\~RvN#"	CONJ	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"	CD	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(p>S)&(r>T),pvr\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(p>S)&(r>T),pvr\SvT#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(Q>S)&(r>T),Qvr\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(Q>S)&(r>T),Qvr\SvT#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(Q>S)&(r>T),Qvr\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(Q>S)&(r>T),Qvr\SvT#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(Q>S)&(P>T),QvP\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(Q>S)&(P>T),QvP\SvT#"	Del	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"	CD	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(p>S)&(r>T),pvr\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(p>S)&(r>T),pvr\SvT#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(P>S)&(r>T),Pvr\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(P>S)&(r>T),Pvr\SvT#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(P>S)&(Q>T),PvQ\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(P>S)&(Q>T),PvQ\SvT#"	Del	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"	CD	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(p>S)&(r>T),pvr\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(p>S)&(r>T),pvr\SvT#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(R>S)&(r>T),Rvr\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(R>S)&(r>T),Rvr\SvT#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(R>S)&(r>T),Rvr\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(R>S)&(r>T),Rvr\SvT#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(R>S)&(Q>T),RvQ\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(R>S)&(Q>T),RvQ\SvT#"	Del	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"	CD	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(p>S)&(r>T),pvr\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(p>S)&(r>T),pvr\SvT#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(Q>S)&(r>T),Qvr\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(Q>S)&(r>T),Qvr\SvT#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(Q>S)&(R>T),QvR\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(Q>S)&(R>T),QvR\SvT#"	Del	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"	CD	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(p>S)&(r>T),pvr\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(p>S)&(r>T),pvr\SvT#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(P>S)&(r>T),Pvr\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(P>S)&(r>T),Pvr\SvT#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(P>S)&(R>T),PvR\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(P>S)&(R>T),PvR\SvT#"	Del	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"	CD	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(p>S)&(r>T),pvr\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(p>S)&(r>T),pvr\SvT#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(R>S)&(r>T),Rvr\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(R>S)&(r>T),Rvr\SvT#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(R>S)&(P>T),RvP\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(R>S)&(P>T),RvP\SvT#"	Del	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"	CD	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(p>S)&(r>T),pvr\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(p>S)&(r>T),pvr\SvT#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(T>S)&(r>T),Tvr\SvT#(S>~R)&(T>N),SvT\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(T>S)&(r>T),Tvr\SvT#(S>~R)&(T>N),SvT\~RvN#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(T>S)&(S>T),TvS\SvT#(S>~R)&(T>N),SvT\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(T>S)&(S>T),TvS\SvT#(S>~R)&(T>N),SvT\~RvN#"	Del	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"	HS	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>q,q>~R\S>~R#S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>q,q>~R\S>~R#S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>T,T>~R\S>~R#S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>T,T>~R\S>~R#S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"	Del	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"	HS	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>q,q>~R\S>~R#S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>q,q>~R\S>~R#S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>P,P>~R\S>~R#S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>P,P>~R\S>~R#S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"	Del	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"
ACAUSEY3-1	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@"	HS	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@"
ACAUSEY3-1	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@"	CD	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(p>~R)&(r>N),pvr\~RvN#"
ACAUSEY3-1	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(p>~R)&(r>N),pvr\~RvN#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@((~T&S)>~R)&(r>N),(~T&S)vr\~RvN#"
ACAUSEY3-1	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@((~T&S)>~R)&(r>N),(~T&S)vr\~RvN#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@((~T&S)>~R)&(~Q>N),(~T&S)v~Q\~RvN#"
ACAUSEY3-1	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@((~T&S)>~R)&(~Q>N),(~T&S)v~Q\~RvN#"	Del	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@"
ACAUSEY3-1	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@"	CD	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(p>~R)&(r>N),pvr\~RvN#"
ACAUSEY3-1	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(p>~R)&(r>N),pvr\~RvN#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(T>~R)&(r>N),Tvr\~RvN#"
ACAUSEY3-1	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(T>~R)&(r>N),Tvr\~RvN#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(T>~R)&(~Q>N),Tv~Q\~RvN#"
ACAUSEY3-1	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(T>~R)&(~Q>N),Tv~Q\~RvN#"	Del	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@"
ACAUSEY3-1	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@"	CD	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(p>~R)&(r>N),pvr\~RvN#"
ACAUSEY3-1	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(p>~R)&(r>N),pvr\~RvN#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(~Q>~R)&(r>N),~Qvr\~RvN#"
ACAUSEY3-1	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(~Q>~R)&(r>N),~Qvr\~RvN#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(~Q>~R)&((T&S)>N),~Qv(T&S)\~RvN#"
ACAUSEY3-1	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(~Q>~R)&((T&S)>N),~Qv(T&S)\~RvN#"	CD	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(p>~Q)&(r>(T&S)),pvr\~Qv(T&S)#(~Q>~R)&((T&S)>N),~Qv(T&S)\~RvN#"
ACAUSEY3-1	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(p>~Q)&(r>(T&S)),pvr\~Qv(T&S)#(~Q>~R)&((T&S)>N),~Qv(T&S)\~RvN#"	CONJ	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@~Q>~R,(T&S)>N\(~Q>~R)&((T&S)>N)#(p>~Q)&(r>(T&S)),pvr\~Qv(T&S)#(~Q>~R)&((T&S)>N),~Qv(T&S)\~RvN#"
ACAUSEY3-1	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@~Q>~R,(T&S)>N\(~Q>~R)&((T&S)>N)#(p>~Q)&(r>(T&S)),pvr\~Qv(T&S)#(~Q>~R)&((T&S)>N),~Qv(T&S)\~RvN#"	Del	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@~Q>~R,(T&S)>N\(~Q>~R)&((T&S)>N)#(~Q>~R)&((T&S)>N),~Qv(T&S)\~RvN#"
ACAUSEY3-1	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@~Q>~R,(T&S)>N\(~Q>~R)&((T&S)>N)#(~Q>~R)&((T&S)>N),~Qv(T&S)\~RvN#"	HS	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@~Q>~R,(T&S)>N\(~Q>~R)&((T&S)>N)#(T&S)>q,q>N\(T&S)>N#(~Q>~R)&((T&S)>N),~Qv(T&S)\~RvN#"
ACAUSEY3-1	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@~Q>~R,(T&S)>N\(~Q>~R)&((T&S)>N)#(T&S)>q,q>N\(T&S)>N#(~Q>~R)&((T&S)>N),~Qv(T&S)\~RvN#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@~Q>~R,(T&S)>N\(~Q>~R)&((T&S)>N)#(T&S)>~Q,~Q>N\(T&S)>N#(~Q>~R)&((T&S)>N),~Qv(T&S)\~RvN#"
ACAUSEY3-1	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@~Q>~R,(T&S)>N\(~Q>~R)&((T&S)>N)#(T&S)>~Q,~Q>N\(T&S)>N#(~Q>~R)&((T&S)>N),~Qv(T&S)\~RvN#"	Del	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@~Q>~R,(T&S)>N\(~Q>~R)&((T&S)>N)#(~Q>~R)&((T&S)>N),~Qv(T&S)\~RvN#"
